Month,Account1,Account2,Stocks,Crypto,Mutal,Bank Total,Total
January,82989.68,13143.23,0,869.72,0,96132.91,97002.63
February,0,0,0,0,0,0,0
March,0,0,0,0,0,0,0
April,0,0,0,0,0,0,0
May,0,0,0,0,0,0,0
June,0,0,0,0,0,0,0
July,95960.93,3206.26,0,869.72,0,99167.19,100036.91
August,119498.51,2202.01,0,869.72,0,121700.52,122570.24
September,110068.16,1212.01,0,869.72,0,111280.17,112149.89
October,104652.94,3488.23,0,869.72,0,108141.17,109010.89
November,105286.52,5959.23,0,869.72,0,111245.75,112115.47
December,100559.1,11033.23,0,869.72,0,111592.33,112462.05